record,name,selling_price,model_year,vehicle_age,km_driven,seats,fuel_type,seller_type,transmission,owner,mileage,engine,max_power,brand
62,Toyota Innova 2.5 G (Diesel) 7 Seater,700000,2014,7,300000,7,4,1,2,2,12.99,2494,100,Toyota
63,Maruti S-Cross 2017-2020 Delta DDiS 200 SH,900000,2019,2,60000,5,4,1,2,1,25.1,1248,88,Maruti
64,Mahindra XUV500 AT W6 2WD,861999,2016,5,120000,7,4,1,1,1,16,2179,140,Mahindra
65,Hyundai Grand i10 CRDi Sportz,345000,2015,6,60000,5,4,1,2,1,24,1120,70,Hyundai
66,Maruti Alto K10 VXI Airbag,366000,2019,2,15000,5,3,1,2,1,23.95,998,67,Maruti
67,Tata Indigo CR4,290000,2013,8,25000,5,4,1,2,1,23.57,1396,70,Tata
68,Ford Fiesta 1.4 Duratec EXI,140000,2006,15,60000,5,3,1,2,2,16.6,1388,68,Ford
69,Maruti Swift ZDI BSIV,600000,2015,6,25000,5,4,1,2,1,25.2,1248,74,Maruti
70,Maruti Swift VDI,445000,2013,8,70000,5,4,2,2,2,28.4,1248,74,Maruti
71,Maruti Swift LXI Option,459999,2018,3,12000,5,3,1,2,1,20.4,1197,81,Maruti
72,Maruti Zen LXI,150000,2006,15,106000,5,3,1,2,2,17.3,993,60,Maruti
73,Toyota Innova 2.5 G (Diesel) 8 Seater,720000,2014,7,80000,8,4,1,2,2,12.99,2494,100,Toyota
74,Hyundai i20 1.4 CRDi Magna,675000,2017,4,25471,5,4,2,2,1,21.9,1396,90,Hyundai
75,Ford Figo 1.5 Sports Edition MT,600000,2017,4,43235,5,4,2,2,1,24.29,1498,99,Ford
76,Hyundai Grand i10 1.2 Kappa Magna AT,550000,2019,2,15000,5,3,1,1,1,18.9,1197,81,Hyundai
77,Honda WR-V i-DTEC VX,900000,2018,3,30000,5,4,1,2,1,25.5,1498,98,Honda
78,Honda Amaze S i-Dtech,425000,2013,8,70000,5,4,1,2,1,25.8,1498,98,Honda
79,Hyundai i20 Active 1.2 S,550000,2017,4,40000,5,3,1,2,1,17.19,1197,81,Hyundai
80,Tata Manza Aura Quadrajet BS IV,310000,2012,9,86000,5,4,1,2,1,21.12,1248,88,Tata
81,Chevrolet Sail 1.2 LS ABS,371000,2015,6,40000,5,3,1,2,1,18.2,1199,82,Chevrolet
82,Volkswagen Polo 1.2 MPI Comfortline,560000,2016,5,35000,5,3,1,2,1,16.2,1199,74,Volkswagen
83,Maruti A-Star Vxi,347000,2011,10,30000,5,3,1,2,1,19,998,66,Maruti
84,Mahindra Bolero DI DX 7 Seater,210000,2007,14,207890,7,4,1,2,2,13.6,2523,63,Mahindra
85,Tata Indigo LX,150000,2010,11,90000,5,4,1,2,1,17,1405,70,Tata
86,Volkswagen Polo 1.5 TDI Highline,540000,2016,5,66000,5,4,2,2,1,20.14,1498,88,Volkswagen
87,Maruti Wagon R LXI CNG,400000,2017,4,110000,5,1,1,2,1,26.6,998,58,Maruti
88,Hyundai i10 Sportz 1.1L LPG,375000,2015,6,60000,5,2,1,2,1,19.2,1086,68,Hyundai
89,Hyundai i20 2015-2017 Asta 1.4 CRDi,800000,2017,4,14000,5,4,1,2,1,22.54,1396,88,Hyundai
90,Tata Hexa XM,1251000,2017,4,35000,7,4,1,2,1,17.6,2179,153,Tata
91,Honda Jazz 1.2 V i VTEC,625000,2016,5,54000,5,3,2,2,1,18.7,1199,88,Honda
92,Hyundai Verna Transform VGT CRDi,195000,2010,11,120000,5,4,1,2,2,16.2,1493,110,Hyundai
93,Chevrolet Beat Diesel LT,221000,2011,10,56000,5,4,2,2,2,25.44,936,57,Chevrolet
94,Skoda Octavia Ambiente 1.9 TDI,355000,2010,11,116000,5,4,1,2,1,18.7,1896,66,Skoda
95,Maruti Ignis 1.2 AMT Zeta BSIV,620000,2018,3,15000,5,3,1,1,1,20.89,1197,81,Maruti
96,Mahindra TUV 300 T8 AMT,700000,2015,6,40000,7,4,1,1,1,18.49,1493,100,Mahindra
97,Hyundai Grand i10 Sportz,400000,2014,7,60000,5,3,1,2,2,18.9,1197,82,Hyundai
98,Mahindra XUV500 AT W6 1.99 mHawk,975000,2016,5,54000,7,4,1,1,1,16,1997,140,Mahindra
99,Mahindra Scorpio 1.99 S10,1250000,2017,4,95000,7,4,1,2,1,15.4,1997,120,Mahindra
100,Honda City i-VTEC VX,1180000,2018,3,5500,5,3,1,2,1,17.4,1497,117,Honda
101,Renault KWID RXT,260000,2016,5,30000,5,3,1,2,1,25.17,799,53,Renault
102,Hyundai i20 1.4 Asta Option,850000,2017,4,63186,5,4,1,2,1,22.54,1396,88,Hyundai
103,Toyota Innova Crysta 2.4 VX MT 8S BSIV,1689999,2016,5,120000,8,4,1,2,1,13.68,2393,147,Toyota
104,Hyundai Grand i10 Magna,370000,2014,7,60000,5,3,1,2,1,18.9,1197,82,Hyundai
105,Mahindra Xylo D4,445000,2014,7,120000,7,4,1,2,2,14.95,2489,93,Mahindra
106,Maruti Swift Dzire VDI,757000,2019,2,25000,5,4,1,2,1,28.4,1248,74,Maruti
107,Mahindra Bolero 2011-2019 SLE BSIII,500000,2014,7,48300,7,4,1,2,2,15.96,2523,62,Mahindra
108,Maruti Ciaz VDI SHVS,750000,2017,4,60000,5,4,1,2,1,28.09,1248,88,Maruti
109,Honda City 2017-2020 GXi,185000,2008,13,110000,5,3,1,2,2,17.7,1497,78,Honda
110,Tata Tiago 1.2 Revotron XZ,380000,2017,4,28000,5,3,1,2,2,23.84,1199,84,Tata
111,Tata Zest Revotron 1.2T XMS,459999,2018,3,35000,5,3,1,2,1,17.57,1193,88,Tata
112,Mahindra Thar CRDe,900000,2018,3,35000,6,4,1,2,1,16.55,2498,105,Mahindra
113,Mahindra Bolero 2011-2019 Plus AC,550000,2012,9,180000,9,4,1,2,3,15.96,2523,62,Mahindra
114,Hyundai Verna 1.6 VTVT SX,795000,2015,6,35000,5,3,1,2,1,17.01,1591,121,Hyundai
115,Maruti Ciaz Zeta Diesel,950000,2018,3,7500,5,4,1,2,1,28.09,1248,88,Maruti
116,Maruti Alto K10 2010-2014 VXI,240000,2010,11,80000,5,3,1,2,2,20.92,998,67,Maruti
117,Mahindra KUV 100 mFALCON D75 K2,450000,2017,4,120000,6,4,1,2,1,25.32,1198,77,Mahindra
118,Hyundai Santro Xing GLS LPG,250000,2011,10,100000,5,2,1,2,2,13.45,1086,62,Hyundai
119,Toyota Fortuner 4x2 4 Speed AT,1225000,2012,9,160000,7,4,1,1,1,11.5,2982,169,Toyota
120,Honda Brio Exclusive Edition,335000,2014,7,33033,5,3,2,2,1,19.4,1198,86,Honda
121,Maruti Swift Dzire VDI,420000,2013,8,105000,5,4,1,2,2,23.4,1248,74,Maruti
122,Tata Safari Storme EX,503000,2015,6,110000,7,4,1,2,1,14.1,2179,147,Tata
123,Tata New Safari Dicor VX 4X2 BS IV,150000,2009,12,90000,7,4,1,2,2,13.93,2179,138,Tata
124,Ford Ikon 1.6 Really Sport,130000,2003,18,80000,5,3,1,2,3,14.2,1597,92,Ford
125,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1300000,2015,6,48000,5,4,1,2,2,19.67,1582,126,Hyundai
126,Hyundai Verna VTVT 1.6 SX,990000,2019,2,15000,5,3,1,2,1,17,1591,121,Hyundai
127,Hyundai i20 Asta 1.4 CRDi (Diesel),320000,2010,11,135000,5,4,1,2,2,23,1396,90,Hyundai
128,Honda City i DTec VX,750000,2016,5,86000,5,4,1,2,3,26,1498,98,Honda
129,Hyundai i20 Active Base Petrol,500000,2015,6,45000,5,3,1,2,1,17.19,1197,81,Hyundai
130,Maruti Wagon R LXI DUO BSIII,110000,2006,15,120000,5,2,1,2,3,17.3,1061,57,Maruti
131,Tata Indica Vista Quadrajet VX,175000,2012,9,60000,5,4,1,2,1,22.3,1248,74,Tata
132,Maruti Alto K10 VXI,250000,2015,6,52000,5,3,1,2,1,23.95,998,67,Maruti
133,Toyota Corolla Altis D-4D G,790000,2015,6,126000,5,4,1,2,3,21.43,1364,87,Toyota
134,Maruti Alto LXi,110000,2014,7,50000,5,3,1,2,2,19.7,796,46,Maruti
135,Maruti Swift Ldi BSIII,250000,2007,14,150000,5,4,1,2,4,17.8,1248,75,Maruti
136,Hyundai i20 2015-2017 Magna 1.4 CRDi,650000,2016,5,10000,5,4,1,2,1,22.54,1396,88,Hyundai
137,Maruti Alto 800 VXI,235000,2014,7,25000,5,3,1,2,1,22.74,796,47,Maruti
138,Honda City 2017-2020 GXi,280000,2008,13,75000,5,3,1,2,1,17.7,1497,78,Honda
139,Volvo V40 D3 R-Design,2475000,2018,3,2000,5,4,2,1,1,16.8,1984,150,Volvo
140,Mahindra Scorpio M2DI,350000,2011,10,120000,5,4,1,2,3,13.5,2179,115,Mahindra
141,Maruti Swift Dzire VDi,280000,2009,12,140000,5,4,1,2,2,19.3,1248,73,Maruti
142,Mahindra KUV 100 mFALCON D75 K8,280000,2016,5,100000,6,4,1,2,1,25.32,1198,77,Mahindra
143,Maruti Omni E MPI STD BS IV,260000,2018,3,30000,8,3,1,2,1,16.8,796,34,Maruti
144,Jaguar XF 2.0 Diesel Portfolio,3200000,2017,4,45000,5,4,2,1,1,19.33,1999,177,Jaguar
145,Hyundai Verna 1.6 CRDi S,600000,2015,6,80000,5,4,1,2,2,23.9,1582,126,Hyundai
146,Honda City 1.5 S Inspire,350000,2010,11,120000,5,3,1,2,2,17,1497,118,Honda
147,Mahindra Bolero 2011-2019 SLE BSIII,550000,2016,5,120000,7,4,1,2,1,15.96,2523,62,Mahindra
148,Maruti Swift Dzire ZXI Plus,795000,2018,3,41779,5,3,2,2,1,21.21,1197,81,Maruti
149,Maruti Wagon R LXI,50000,2003,18,147000,5,3,1,2,4,18.9,998,67,Maruti
150,Honda Jazz 1.2 VX i VTEC,475000,2016,5,25000,5,3,1,2,1,18.7,1199,88,Honda
151,Maruti Vitara Brezza ZDi Plus Dual Tone,791000,2016,5,190000,5,4,1,2,1,24.3,1248,88,Maruti
152,Fiat Avventura Power Up 1.3 Emotion,459999,2015,6,60000,5,4,1,2,2,20.5,1248,91,Fiat
153,Ford Figo 1.2P Titanium MT,408000,2017,4,60000,5,3,1,2,1,18.16,1196,86,Ford
154,Maruti Wagon R VXI BS IV,229999,2011,10,500000,5,3,1,2,2,18.9,998,67,Maruti
155,Maruti 800 AC,100000,2012,9,51000,4,3,1,2,1,16.1,796,37,Maruti
156,Hyundai Grand i10 Sportz,500000,2015,6,40000,5,3,1,2,1,18.9,1197,82,Hyundai
157,Chevrolet Captiva LT,300000,2008,13,100000,7,4,1,2,2,11.5,1991,147,Chevrolet
158,Volvo V40 D3 R-Design,2475000,2018,3,2000,5,4,2,1,1,16.8,1984,150,Volvo
159,Honda Amaze VX i-DTEC,530000,2014,7,110000,5,4,1,2,1,25.8,1498,98,Honda
160,Maruti Swift Dzire LDI,650000,2018,3,50000,5,4,1,2,1,28.4,1248,74,Maruti
161,Hyundai Grand i10 CRDi Magna,400000,2014,7,50074,5,4,1,2,1,24,1120,70,Hyundai
162,Ford EcoSport 1.5 Diesel Titanium BSIV,975000,2019,2,30000,5,4,1,2,1,23,1498,98,Ford
163,Hyundai Xcent 1.2 VTVT S,509999,2017,4,90000,5,3,1,2,1,20.14,1197,81,Hyundai
164,Maruti Vitara Brezza ZDi Plus Dual Tone,950000,2018,3,25000,5,4,1,2,1,24.3,1248,88,Maruti
165,Mahindra KUV 100 mFALCON G80 K6 AW,325000,2017,4,5000,6,3,1,2,2,18.15,1198,82,Mahindra
166,Maruti Swift VDI Optional,590000,2016,5,120000,5,4,1,2,1,25.2,1248,74,Maruti
167,Maruti Swift Star VDI,400000,2013,8,70000,5,4,1,2,1,22.9,1248,74,Maruti
168,Hyundai Xcent 1.1 CRDi S,360000,2015,6,120000,5,4,1,2,1,24.4,1120,71,Hyundai
169,Hyundai i20 Magna 1.4 CRDi,550000,2016,5,90000,5,4,1,2,2,22.54,1396,88,Hyundai
170,Fiat Grande Punto EVO 1.3 Dynamic,550000,2015,6,67000,5,4,1,2,1,21.2,1248,75,Fiat
171,Hyundai Grand i10 1.2 Kappa Sportz BSIV,600000,2018,3,25000,5,3,1,2,2,18.9,1197,81,Hyundai
172,Hyundai i10 Magna 1.1L,385000,2017,4,42000,5,3,1,2,2,19.81,1086,68,Hyundai
173,Honda Amaze VX i-DTEC,509999,2015,6,75000,5,4,1,2,2,25.8,1498,98,Honda
174,Mahindra TUV 300 T10,775000,2018,3,50000,7,4,1,2,2,18.49,1493,100,Mahindra
175,Maruti Alto LXi BSIII,150000,2010,11,120000,5,3,1,2,2,19.7,796,46,Maruti
176,Lexus ES 300h,5150000,2019,2,20000,5,3,2,1,1,22.37,2487,214,Lexus
177,Mahindra Bolero SLX,421000,2010,11,120000,7,4,1,2,2,13.6,2523,63,Mahindra
178,Renault KWID 1.0 RXT Optional,330000,2018,3,30000,5,3,1,2,1,23.01,999,67,Renault
179,BMW X4 M Sport X xDrive20d,5400000,2019,2,7500,5,4,2,1,1,16.78,1995,190,BMW
180,BMW X4 M Sport X xDrive20d,5500000,2019,2,8500,5,4,2,1,1,16.78,1995,190,BMW
181,Renault Duster 110PS Diesel RxZ,600000,2014,7,114000,5,4,1,2,1,19.01,1461,108,Renault
182,Ford Figo Diesel Titanium,225000,2012,9,87237,5,4,2,2,2,20,1399,68,Ford
183,Maruti Swift Dzire Tour LDI,450000,2016,5,175000,5,4,1,2,1,23.4,1248,74,Maruti
184,Maruti Swift VDI BSIV,700000,2014,7,141000,5,4,1,2,4,25.2,1248,74,Maruti
185,Tata Tiago 2019-2020 XZ Plus Dual Tone,450000,2019,2,3500,5,3,1,2,1,23.84,1199,83,Tata
186,Ford Fiesta EXi 1.4 TDCi Ltd,170000,2011,10,80000,5,4,1,2,3,17.8,1399,68,Ford
187,Maruti Wagon R VXI BS IV with ABS,318000,2014,7,80000,5,3,1,2,1,20.51,998,67,Maruti
188,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,600000,2017,4,100000,5,4,1,2,1,23.65,1248,88,Maruti
189,Chevrolet Spark 1.0 LS,114999,2010,11,60000,5,3,1,2,2,18,995,62,Chevrolet
190,Maruti 800 AC,120000,2006,15,40000,4,3,1,2,2,16.1,796,37,Maruti
191,Maruti Swift VDI,400000,2011,10,72000,5,4,1,2,1,22.9,1248,74,Maruti
192,Honda City i VTEC VX,773000,2016,5,65000,5,3,1,2,1,17.8,1497,117,Honda
193,Maruti Baleno Alpha 1.3,740000,2018,3,38817,5,4,2,2,1,27.39,1248,74,Maruti
194,Maruti SX4 ZXI AT,260000,2011,10,65000,5,3,1,1,3,12.6,1586,103,Maruti
195,Maruti Alto LXi BSIII,160000,2006,15,90000,5,3,1,2,1,19.7,796,46,Maruti
196,Renault KWID RXT,350000,2016,5,15000,5,3,1,2,1,25.17,799,53,Renault
197,Tata Manza ELAN Quadrajet BS III,250000,2011,10,70000,5,4,1,2,1,19,1248,90,Tata
198,Mahindra Marazzo M8,1450000,2019,2,10000,7,4,1,2,1,17.3,1497,121,Mahindra
199,Maruti Omni Limited Edition,150000,2013,8,66000,8,3,1,2,1,14.7,796,37,Maruti
200,Maruti Zen Estilo LXI Green (CNG),200000,2011,10,80000,5,1,1,2,1,26.3,998,67,Maruti
201,Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,2013,8,79328,7,4,3,2,2,12.99,2494,100,Toyota
202,Hyundai Verna 1.6 SX CRDi (O),500000,2013,8,70000,5,4,1,2,3,22.32,1582,126,Hyundai
203,Hyundai Creta 1.4 E Plus,946000,2018,3,60000,5,4,1,2,1,22.1,1396,88,Hyundai
204,Maruti Swift VDI,380000,2012,9,100000,5,4,1,2,2,22.9,1248,74,Maruti
205,Hyundai i20 Magna Optional 1.2,380000,2012,9,27500,5,3,1,2,1,18.5,1197,82,Hyundai
206,Hyundai i20 Sportz AT 1.4,330000,2013,8,150000,5,3,1,1,2,15,1396,98,Hyundai
207,Ford Aspire Trend Plus,620000,2018,3,15000,5,3,1,2,1,20.4,1194,94,Ford
208,Honda City i VTEC V,860000,2017,4,28000,5,3,1,2,1,17.8,1497,117,Honda
209,Maruti 800 Std,31504,2004,17,110000,4,3,1,2,3,16.1,796,37,Maruti
210,Honda City i VTEC VX Option,649000,2015,6,39000,5,3,2,2,1,17.4,1497,117,Honda
211,Maruti Zen LXI,30000,2001,20,10000,5,3,1,2,1,17.3,993,60,Maruti
212,Honda Brio 1.2 S MT,480000,2017,4,30400,5,3,2,2,1,18.5,1198,86,Honda
213,Mitsubishi Lancer 2.0 GLd,150000,1999,22,198000,5,4,1,2,2,14.8,1998,68,Mitsubishi
214,Hyundai Santro Xing GLS,140000,2008,13,80000,5,3,1,2,3,17.92,1086,62,Hyundai
215,Mahindra XUV500 W10 1.99 mHawk,1400000,2018,3,30000,7,4,1,2,1,16,1997,140,Mahindra
216,Hyundai Santro Xing GL Plus LPG,300000,2015,6,85000,5,2,1,2,1,13.45,1086,62,Hyundai
217,Honda Mobilio RS i DTEC,550000,2015,6,120000,7,4,1,2,2,24.5,1498,98,Honda
218,Hyundai i20 2015-2017 Sportz 1.2,625000,2017,4,23511,5,3,1,2,1,18.6,1197,81,Hyundai
219,Maruti Swift Dzire VXI 1.2,650000,2018,3,15000,5,3,1,2,1,21.21,1197,81,Maruti
220,Maruti Ritz ZXi,415000,2013,8,60000,5,3,1,2,2,18.5,1197,85,Maruti
221,Maruti Alto LXi,220000,2012,9,111000,5,3,1,2,1,19.7,796,46,Maruti
222,Mahindra Bolero 2011-2019 ZLX,631000,2016,5,92385,7,4,1,2,1,15.96,2523,62,Mahindra
223,Honda Brio Exclusive Edition,335000,2014,7,33033,5,3,2,2,1,19.4,1198,86,Honda
224,Hyundai Creta 1.6 VTVT E Plus,700000,2016,5,30000,5,3,1,2,1,15.29,1591,121,Hyundai
225,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,725000,2017,4,45000,5,4,1,2,1,23,1498,98,Ford
226,Maruti Alto LX BSIII,118000,2007,14,110000,5,3,1,2,2,19.7,796,46,Maruti
227,Maruti Alto LXi BSIII,135000,2009,12,50000,5,3,1,2,1,19.7,796,46,Maruti
228,Maruti Wagon R VXI BS IV,440000,2017,4,35000,5,3,1,2,1,20.51,998,67,Maruti
229,Maruti Alto 800 LXI,290000,2017,4,90000,5,3,1,2,2,24.7,796,47,Maruti
230,Honda Jazz 1.2 VX i VTEC,700000,2015,6,22700,5,3,1,2,1,18.7,1199,88,Honda
231,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,850000,2018,3,90000,5,3,1,2,1,17,1497,121,Ford
232,Chevrolet Sail 1.2 LS ABS,300000,2014,7,50000,5,3,1,2,1,18.2,1199,82,Chevrolet
233,Mahindra KUV 100 G80 K6 Plus,535000,2018,3,21000,6,3,1,2,2,18.15,1198,82,Mahindra
234,Hyundai Grand i10 CRDi Magna,300000,2014,7,60000,5,4,1,2,1,24,1120,70,Hyundai
235,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,906000,2019,2,30000,5,4,1,2,1,23,1498,98,Ford
236,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,2018,3,11000,5,3,2,2,1,17,1198,108,Tata
237,Honda Jazz VX,550000,2016,5,56494,5,3,3,2,1,18.2,1199,88,Honda
238,Mahindra Bolero SLX,305000,2008,13,219000,7,4,1,2,2,13.6,2523,63,Mahindra
239,Ford Aspire Trend Diesel BSIV,530000,2018,3,80000,5,4,1,2,1,26.1,1498,99,Ford
240,Tata Indigo eCS VX BSIV,310000,2013,8,70000,5,4,1,2,1,25,1396,69,Tata
241,Hyundai EON Magna Plus,325000,2018,3,10000,5,3,1,2,1,21.1,814,55,Hyundai
242,BMW 3 Series 320d Corporate Edition,900000,2012,9,155000,4,4,1,1,2,16.07,1995,181,BMW
243,Maruti Baleno Zeta 1.2,610000,2018,3,35000,5,3,1,2,1,21.4,1197,83,Maruti
244,Tata Indigo eCS LX BSIV,246000,2012,9,35000,5,4,1,2,2,23.03,1396,69,Tata
245,Hyundai Verna 1.6 SX CRDi (O),600000,2014,7,125000,5,4,1,2,1,22.32,1582,126,Hyundai
246,Hyundai Grand i10 Nios Sportz,775000,2020,1,2000,5,3,2,2,1,20.7,1197,81,Hyundai
247,Mahindra Bolero 2011-2019 ZLX BSIII,525000,2013,8,80000,7,4,1,2,2,15.96,2523,62,Mahindra
248,Volvo XC40 D4 Inscription BSIV,3800000,2019,2,20000,5,4,1,1,1,18,1969,190,Volvo
249,Chevrolet Spark 1.0 LS,150000,2011,10,40000,5,3,1,2,2,18,995,62,Chevrolet
250,Renault KWID RXT Optional,250000,2016,5,41000,5,3,1,2,1,25.17,799,53,Renault
251,Volkswagen Vento Diesel Breeze,400000,2012,9,60000,5,4,1,2,3,20.5,1598,105,Volkswagen
252,Maruti Ertiga VDI,571000,2015,6,68000,7,4,1,2,2,20.77,1248,88,Maruti
253,Mahindra Bolero B4,445000,2015,6,40200,7,4,2,2,1,21,1498,74,Mahindra
